"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001002400","Census Tract 24, District of Columbia, District of Columbia","4206","430","1705","287","1967","327","0","12","80","52","0","12","336","222","118","77","19","31","99","70"
"1400000US11001004801","Census Tract 48.01, District of Columbia, District of Columbia","2900","242","1566","186","999","155","0","12","117","66","0","12","107","92","111","73","12","19","99","74"
"1400000US11001004802","Census Tract 48.02, District of Columbia, District of Columbia","3777","348","1626","241","1620","339","17","26","429","231","0","12","13","21","72","46","7","12","65","43"
"1400000US11001005301","Census Tract 53.01, District of Columbia, District of Columbia","5033","281","4049","328","125","78","14","24","569","156","0","17","96","91","180","100","56","53","124","73"
"1400000US11001006801","Census Tract 68.01, District of Columbia, District of Columbia","2380","202","1277","207","891","231","0","12","87","39","0","12","28","32","97","60","9","16","88","57"
"1400000US11001006804","Census Tract 68.04, District of Columbia, District of Columbia","2654","322","284","133","2229","249","24","24","0","12","0","12","68","60","49","46","0","12","49","46"
"1400000US11001007000","Census Tract 70, District of Columbia, District of Columbia","2725","321","2171","251","178","91","0","12","61","55","0","12","115","81","200","124","2","5","198","124"
"1400000US11001007301","Census Tract 73.01, District of Columbia, District of Columbia","4746","351","2898","341","1329","303","6","13","113","70","0","12","98","84","302","109","14","18","288","105"
"1400000US11001007404","Census Tract 74.04, District of Columbia, District of Columbia","3947","602","77","77","3583","612","0","12","9","14","0","12","254","232","24","40","0","12","24","40"
"1400000US11001007504","Census Tract 75.04, District of Columbia, District of Columbia","2796","407","13","18","2771","411","0","12","0","12","0","12","5","13","7","12","7","12","0","12"
"1400000US11001007605","Census Tract 76.05, District of Columbia, District of Columbia","3933","505","221","126","3333","400","0","12","51","42","0","12","236","361","92","72","0","12","92","72"
"1400000US11001004001","Census Tract 40.01, District of Columbia, District of Columbia","4884","671","4022","709","321","216","0","12","102","77","34","46","286","201","119","79","31","49","88","62"
"1400000US11001001600","Census Tract 16, District of Columbia, District of Columbia","4688","333","1429","176","2866","372","0","12","100","59","0","12","82","65","211","134","69","71","142","80"
"1400000US11001001901","Census Tract 19.01, District of Columbia, District of Columbia","4315","487","976","255","2657","359","0","12","117","159","0","12","515","431","50","38","0","12","50","38"
"1400000US11001009508","Census Tract 95.08, District of Columbia, District of Columbia","3584","474","392","158","2582","409","78","113","33","46","0","12","339","254","160","144","21","33","139","141"
"1400000US11001007503","Census Tract 75.03, District of Columbia, District of Columbia","2552","275","128","65","2389","280","0","12","0","12","0","12","18","20","17","19","0","12","17","19"
"1400000US11001007601","Census Tract 76.01, District of Columbia, District of Columbia","4965","544","409","210","4433","564","0","12","9","17","0","12","80","69","34","40","0","12","34","40"
"1400000US11001007709","Census Tract 77.09, District of Columbia, District of Columbia","2410","321","29","25","2266","310","7","11","0","12","0","12","14","32","94","76","25","28","69","66"
"1400000US11001008903","Census Tract 89.03, District of Columbia, District of Columbia","3342","489","507","118","2564","561","0","12","91","83","0","12","145","206","35","29","0","12","35","29"
"1400000US11001009204","Census Tract 92.04, District of Columbia, District of Columbia","2765","356","262","118","2198","298","10","16","11","20","0","12","221","233","63","68","9","17","54","65"
"1400000US11001002600","Census Tract 26, District of Columbia, District of Columbia","2585","230","1320","140","963","196","8","13","154","82","15","23","44","35","81","41","13","21","68","38"
"1400000US11001004002","Census Tract 40.02, District of Columbia, District of Columbia","3048","252","2707","266","120","77","0","12","179","72","0","12","14","18","28","25","0","12","28","25"
"1400000US11001005600","Census Tract 56, District of Columbia, District of Columbia","6424","636","4655","557","411","182","18","31","815","223","0","17","311","219","214","102","31","51","183","100"
"1400000US11001004600","Census Tract 46, District of Columbia, District of Columbia","3031","296","1355","300","1376","278","0","12","176","97","0","12","66","108","58","46","0","12","58","46"
"1400000US11001005201","Census Tract 52.01, District of Columbia, District of Columbia","6285","546","4581","459","660","296","87","98","328","167","0","17","278","189","351","252","151","237","200","116"
