"GEO_ID","NAME","B25077_001E","B25077_001M"
"1400000US06037700700","Census Tract 7007, Los Angeles County, California","2,000,000+","***"
"1400000US06037701000","Census Tract 7010, Los Angeles County, California","2,000,000+","***"
"1400000US06037701201","Census Tract 7012.01, Los Angeles County, California","2,000,000+","***"
"1400000US06037701304","Census Tract 7013.04, Los Angeles County, California","2,000,000+","***"
"1400000US06037701402","Census Tract 7014.02, Los Angeles County, California","-","**"
"1400000US06037701902","Census Tract 7019.02, Los Angeles County, California","2,000,000+","***"
"1400000US06037800406","Census Tract 8004.06, Los Angeles County, California","2,000,000+","***"
"1400000US06037800504","Census Tract 8005.04, Los Angeles County, California","2,000,000+","***"
"1400000US06037800506","Census Tract 8005.06, Los Angeles County, California","2,000,000+","***"
"1400000US06037900704","Census Tract 9007.04, Los Angeles County, California","-","**"
"1400000US06037901003","Census Tract 9010.03, Los Angeles County, California","-","**"
"1400000US06037910501","Census Tract 9105.01, Los Angeles County, California","-","**"
"1400000US06037910811","Census Tract 9108.11, Los Angeles County, California","-","**"
"1400000US06037920011","Census Tract 9200.11, Los Angeles County, California","-","**"
"1400000US06037920033","Census Tract 9200.33, Los Angeles County, California","-","**"
"1400000US06037920200","Census Tract 9202, Los Angeles County, California","-","**"
"1400000US06037920303","Census Tract 9203.03, Los Angeles County, California","-","**"
"1400000US06037980001","Census Tract 9800.01, Los Angeles County, California","-","**"
"1400000US06037980002","Census Tract 9800.02, Los Angeles County, California","-","**"
"1400000US06037980003","Census Tract 9800.03, Los Angeles County, California","-","**"
"1400000US06037980004","Census Tract 9800.04, Los Angeles County, California","-","**"
"1400000US06037980005","Census Tract 9800.05, Los Angeles County, California","-","**"
"1400000US06037980006","Census Tract 9800.06, Los Angeles County, California","-","**"
"1400000US06037980007","Census Tract 9800.07, Los Angeles County, California","-","**"
"1400000US06037980008","Census Tract 9800.08, Los Angeles County, California","-","**"
"1400000US06037980009","Census Tract 9800.09, Los Angeles County, California","-","**"
"1400000US06037980013","Census Tract 9800.13, Los Angeles County, California","-","**"
"1400000US06037980014","Census Tract 9800.14, Los Angeles County, California","-","**"
"1400000US06037980015","Census Tract 9800.15, Los Angeles County, California","-","**"
"1400000US06037980018","Census Tract 9800.18, Los Angeles County, California","-","**"
"1400000US06037980020","Census Tract 9800.20, Los Angeles County, California","-","**"
"1400000US06037980021","Census Tract 9800.21, Los Angeles County, California","-","**"
