"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"1400000US17031830100","Census Tract 8301, Cook County, Illinois","0.3558","0.0474"
"1400000US17031740200","Census Tract 7402, Cook County, Illinois","0.3573","0.0342"
"1400000US17031832000","Census Tract 8320, Cook County, Illinois","0.4080","0.0339"
"1400000US17031841800","Census Tract 8418, Cook County, Illinois","0.4068","0.0447"
"1400000US17031802200","Census Tract 8022, Cook County, Illinois","0.5175","0.0362"
"1400000US17031310400","Census Tract 3104, Cook County, Illinois","0.4500","0.0657"
"1400000US17031610300","Census Tract 6103, Cook County, Illinois","0.3865","0.0416"
"1400000US17031817101","Census Tract 8171.01, Cook County, Illinois","0.4713","0.1017"
"1400000US17031062800","Census Tract 628, Cook County, Illinois","0.4859","0.0547"
"1400000US17031821900","Census Tract 8219, Cook County, Illinois","0.3864","0.0380"
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","0.4349","0.0456"
"1400000US17031823304","Census Tract 8233.04, Cook County, Illinois","0.4527","0.0409"
"1400000US17031711200","Census Tract 7112, Cook County, Illinois","0.5101","0.1015"
"1400000US17031802506","Census Tract 8025.06, Cook County, Illinois","0.4069","0.0720"
"1400000US17031822400","Census Tract 8224, Cook County, Illinois","0.4773","0.0502"
"1400000US17031808302","Census Tract 8083.02, Cook County, Illinois","0.4202","0.0499"
"1400000US17031640600","Census Tract 6406, Cook County, Illinois","0.3789","0.0372"
"1400000US17031830007","Census Tract 8300.07, Cook County, Illinois","0.4698","0.0498"
"1400000US17031834800","Census Tract 8348, Cook County, Illinois","0.5513","0.0591"
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","0.3700","0.0372"
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","0.4075","0.0770"
"1400000US17031819100","Census Tract 8191, Cook County, Illinois","0.3971","0.0496"
"1400000US17031803901","Census Tract 8039.01, Cook County, Illinois","0.4076","0.0394"
"1400000US17031081600","Census Tract 816, Cook County, Illinois","0.4948","0.0665"
"1400000US17031815400","Census Tract 8154, Cook County, Illinois","0.4513","0.0427"
"1400000US17031460302","Census Tract 4603.02, Cook County, Illinois","0.4605","0.0744"
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","0.4316","0.0351"
"1400000US17031804608","Census Tract 8046.08, Cook County, Illinois","0.4615","0.0620"
"1400000US17031440101","Census Tract 4401.01, Cook County, Illinois","0.4372","0.0537"
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","0.3967","0.0424"
"1400000US17031829600","Census Tract 8296, Cook County, Illinois","0.4341","0.0672"
"1400000US17031806300","Census Tract 8063, Cook County, Illinois","0.4652","0.1106"
