id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031804108,"Census Tract 8041.08, Cook County, Illinois",229700,119715
1400000US17031804109,"Census Tract 8041.09, Cook County, Illinois",432100,23593
1400000US17031804201,"Census Tract 8042.01, Cook County, Illinois",723500,53651
1400000US17031804202,"Census Tract 8042.02, Cook County, Illinois",484600,46271
1400000US17031804305,"Census Tract 8043.05, Cook County, Illinois",172800,9724
1400000US17031804306,"Census Tract 8043.06, Cook County, Illinois",160300,4621
1400000US17031804308,"Census Tract 8043.08, Cook County, Illinois",166700,7757
1400000US17031804309,"Census Tract 8043.09, Cook County, Illinois",174000,7805
1400000US17031804310,"Census Tract 8043.10, Cook County, Illinois",231500,11419
1400000US17031804311,"Census Tract 8043.11, Cook County, Illinois",258700,40678
1400000US17031804403,"Census Tract 8044.03, Cook County, Illinois",230200,22323
1400000US17031804404,"Census Tract 8044.04, Cook County, Illinois",188000,13319
1400000US17031804405,"Census Tract 8044.05, Cook County, Illinois",155900,13133
1400000US17031804406,"Census Tract 8044.06, Cook County, Illinois",156900,6937
1400000US17031804505,"Census Tract 8045.05, Cook County, Illinois",180500,17877
1400000US17031804506,"Census Tract 8045.06, Cook County, Illinois",287900,8099
1400000US17031804507,"Census Tract 8045.07, Cook County, Illinois",240700,17186
1400000US17031804508,"Census Tract 8045.08, Cook County, Illinois",152200,33391
1400000US17031804509,"Census Tract 8045.09, Cook County, Illinois",184000,17376
1400000US17031804510,"Census Tract 8045.10, Cook County, Illinois",169900,7829
1400000US17031804511,"Census Tract 8045.11, Cook County, Illinois",199000,14083
1400000US17031804603,"Census Tract 8046.03, Cook County, Illinois",261900,20646
1400000US17031804606,"Census Tract 8046.06, Cook County, Illinois",341300,9670
1400000US17031804607,"Census Tract 8046.07, Cook County, Illinois",313500,15268
1400000US17031804608,"Census Tract 8046.08, Cook County, Illinois",225100,17194
1400000US17031804609,"Census Tract 8046.09, Cook County, Illinois",406100,45417
1400000US17031804610,"Census Tract 8046.10, Cook County, Illinois",171600,6731
1400000US17031804611,"Census Tract 8046.11, Cook County, Illinois",283900,30939
1400000US17031804701,"Census Tract 8047.01, Cook County, Illinois",158200,6193
1400000US17031804705,"Census Tract 8047.05, Cook County, Illinois",169900,70460
1400000US17031804706,"Census Tract 8047.06, Cook County, Illinois",297200,11054
1400000US17031804709,"Census Tract 8047.09, Cook County, Illinois",199700,18321
1400000US17031804710,"Census Tract 8047.10, Cook County, Illinois",230900,11127
1400000US17031804711,"Census Tract 8047.11, Cook County, Illinois",171000,25920
1400000US17031804712,"Census Tract 8047.12, Cook County, Illinois",294400,12169
1400000US17031804713,"Census Tract 8047.13, Cook County, Illinois",221900,34382
1400000US17031804714,"Census Tract 8047.14, Cook County, Illinois",242700,12322
1400000US17031804715,"Census Tract 8047.15, Cook County, Illinois",140400,41121
1400000US17031804716,"Census Tract 8047.16, Cook County, Illinois",277700,13940
1400000US17031804803,"Census Tract 8048.03, Cook County, Illinois",334500,9799
1400000US17031804804,"Census Tract 8048.04, Cook County, Illinois",182200,8734
1400000US17031804805,"Census Tract 8048.05, Cook County, Illinois",240800,18364
1400000US17031804806,"Census Tract 8048.06, Cook County, Illinois",189000,27609
1400000US17031804807,"Census Tract 8048.07, Cook County, Illinois",227600,12247
1400000US17031804808,"Census Tract 8048.08, Cook County, Illinois",274500,6599
1400000US17031804809,"Census Tract 8048.09, Cook County, Illinois",285600,12619
1400000US17031804810,"Census Tract 8048.10, Cook County, Illinois",300000,22269
1400000US17031804901,"Census Tract 8049.01, Cook County, Illinois",332000,13357
1400000US17031804902,"Census Tract 8049.02, Cook County, Illinois",307000,16601
1400000US17031805001,"Census Tract 8050.01, Cook County, Illinois",371700,14990
1400000US17031805002,"Census Tract 8050.02, Cook County, Illinois",227700,38283
1400000US17031805105,"Census Tract 8051.05, Cook County, Illinois",138500,38063
1400000US17031805106,"Census Tract 8051.06, Cook County, Illinois",209600,68874
1400000US17031805107,"Census Tract 8051.07, Cook County, Illinois",125300,33101
1400000US17031805108,"Census Tract 8051.08, Cook County, Illinois",305200,31522
1400000US17031805109,"Census Tract 8051.09, Cook County, Illinois",355300,9899
1400000US17031805110,"Census Tract 8051.10, Cook County, Illinois",284500,17245
1400000US17031805111,"Census Tract 8051.11, Cook County, Illinois",254400,28577
1400000US17031805112,"Census Tract 8051.12, Cook County, Illinois",267900,13969
1400000US17031805201,"Census Tract 8052.01, Cook County, Illinois",370300,15007
1400000US17031805202,"Census Tract 8052.02, Cook County, Illinois",371000,16296
1400000US17031805301,"Census Tract 8053.01, Cook County, Illinois",321900,15361
1400000US17031805302,"Census Tract 8053.02, Cook County, Illinois",306200,18787
1400000US17031805401,"Census Tract 8054.01, Cook County, Illinois",313900,16834
1400000US17031805402,"Census Tract 8054.02, Cook County, Illinois",284700,12858
1400000US17031805501,"Census Tract 8055.01, Cook County, Illinois",409900,47883
1400000US17031805502,"Census Tract 8055.02, Cook County, Illinois",571600,35549
1400000US17031805600,"Census Tract 8056, Cook County, Illinois",490300,28469
1400000US17031805701,"Census Tract 8057.01, Cook County, Illinois",443800,24633
1400000US17031805702,"Census Tract 8057.02, Cook County, Illinois",407200,26792
1400000US17031805801,"Census Tract 8058.01, Cook County, Illinois",367800,11595
1400000US17031805802,"Census Tract 8058.02, Cook County, Illinois",375300,15504
1400000US17031805901,"Census Tract 8059.01, Cook County, Illinois",277500,20345
1400000US17031805902,"Census Tract 8059.02, Cook County, Illinois",406000,33749
1400000US17031806001,"Census Tract 8060.01, Cook County, Illinois",126900,26967
1400000US17031806002,"Census Tract 8060.02, Cook County, Illinois",132000,13062
1400000US17031806003,"Census Tract 8060.03, Cook County, Illinois",188600,11942
1400000US17031806004,"Census Tract 8060.04, Cook County, Illinois",257300,35354
1400000US17031806102,"Census Tract 8061.02, Cook County, Illinois",251600,17725
1400000US17031806103,"Census Tract 8061.03, Cook County, Illinois",275700,11208
1400000US17031806104,"Census Tract 8061.04, Cook County, Illinois",165000,33771
1400000US17031806201,"Census Tract 8062.01, Cook County, Illinois",199600,11936
1400000US17031806202,"Census Tract 8062.02, Cook County, Illinois",197700,21131
1400000US17031806300,"Census Tract 8063, Cook County, Illinois",266500,10757
1400000US17031806400,"Census Tract 8064, Cook County, Illinois",274500,26514
1400000US17031806501,"Census Tract 8065.01, Cook County, Illinois",230800,10368
1400000US17031806502,"Census Tract 8065.02, Cook County, Illinois",218600,16555
1400000US17031806600,"Census Tract 8066, Cook County, Illinois",248900,13211
1400000US17031806700,"Census Tract 8067, Cook County, Illinois",408300,25087
1400000US17031806801,"Census Tract 8068.01, Cook County, Illinois",292400,23953
1400000US17031806802,"Census Tract 8068.02, Cook County, Illinois",397900,49197
1400000US17031806900,"Census Tract 8069, Cook County, Illinois",277400,24133
1400000US17031807000,"Census Tract 8070, Cook County, Illinois",254500,31063
1400000US17031807100,"Census Tract 8071, Cook County, Illinois",414000,22152
1400000US17031807200,"Census Tract 8072, Cook County, Illinois",314000,15143
1400000US17031807300,"Census Tract 8073, Cook County, Illinois",251800,32815
1400000US17031807400,"Census Tract 8074, Cook County, Illinois",331600,15571
1400000US17031807500,"Census Tract 8075, Cook County, Illinois",303800,19336
1400000US17031807600,"Census Tract 8076, Cook County, Illinois",275800,14083
1400000US17031807700,"Census Tract 8077, Cook County, Illinois",244300,24659
1400000US17031807800,"Census Tract 8078, Cook County, Illinois",354000,27455
1400000US17031807900,"Census Tract 8079, Cook County, Illinois",480700,51828
1400000US17031808001,"Census Tract 8080.01, Cook County, Illinois",378700,16590
1400000US17031808002,"Census Tract 8080.02, Cook County, Illinois",369000,24098
1400000US17031808100,"Census Tract 8081, Cook County, Illinois",258900,17268
1400000US17031808200,"Census Tract 8082, Cook County, Illinois",251500,14078
1400000US17031808301,"Census Tract 8083.01, Cook County, Illinois",277900,19696
1400000US17031808302,"Census Tract 8083.02, Cook County, Illinois",275600,19779
1400000US17031808400,"Census Tract 8084, Cook County, Illinois",349800,47100
1400000US17031808500,"Census Tract 8085, Cook County, Illinois",330700,10269
1400000US17031808600,"Census Tract 8086, Cook County, Illinois",728100,74450
1400000US17031808702,"Census Tract 8087.02, Cook County, Illinois",216900,23512
1400000US17031808800,"Census Tract 8088, Cook County, Illinois",674200,47408
1400000US17031808900,"Census Tract 8089, Cook County, Illinois",553300,28783
1400000US17031809000,"Census Tract 8090, Cook County, Illinois",627100,27614
1400000US17031809100,"Census Tract 8091, Cook County, Illinois",539800,42332
1400000US17031809200,"Census Tract 8092, Cook County, Illinois",211900,32001
1400000US17031809300,"Census Tract 8093, Cook County, Illinois",529400,55938
1400000US17031809400,"Census Tract 8094, Cook County, Illinois",428000,96932
1400000US17031809500,"Census Tract 8095, Cook County, Illinois",341800,39909
1400000US17031809600,"Census Tract 8096, Cook County, Illinois",336400,100749
1400000US17031809700,"Census Tract 8097, Cook County, Illinois",332300,26901
1400000US17031809800,"Census Tract 8098, Cook County, Illinois",611800,83312
1400000US17031809900,"Census Tract 8099, Cook County, Illinois",509100,193207
1400000US17031810000,"Census Tract 8100, Cook County, Illinois",290100,23003
1400000US17031810100,"Census Tract 8101, Cook County, Illinois",356000,44100
1400000US17031810200,"Census Tract 8102, Cook County, Illinois",165000,10890
1400000US17031810301,"Census Tract 8103.01, Cook County, Illinois",292800,18892
1400000US17031810302,"Census Tract 8103.02, Cook County, Illinois",319000,26153
1400000US17031810400,"Census Tract 8104, Cook County, Illinois",404500,23307
1400000US17031810501,"Census Tract 8105.01, Cook County, Illinois",293400,10128
1400000US17031810502,"Census Tract 8105.02, Cook County, Illinois",266600,14618
1400000US17031810600,"Census Tract 8106, Cook County, Illinois",257300,22718
1400000US17031810701,"Census Tract 8107.01, Cook County, Illinois",217700,13135
1400000US17031810702,"Census Tract 8107.02, Cook County, Illinois",213100,47114
1400000US17031810800,"Census Tract 8108, Cook County, Illinois",242100,12076
1400000US17031810900,"Census Tract 8109, Cook County, Illinois",229600,18243
1400000US17031811000,"Census Tract 8110, Cook County, Illinois",294900,15260
1400000US17031811100,"Census Tract 8111, Cook County, Illinois",201200,15722
1400000US17031811200,"Census Tract 8112, Cook County, Illinois",206800,12704
1400000US17031811301,"Census Tract 8113.01, Cook County, Illinois",177200,10983
1400000US17031811302,"Census Tract 8113.02, Cook County, Illinois",171900,11727
1400000US17031811401,"Census Tract 8114.01, Cook County, Illinois",186300,8653
1400000US17031811402,"Census Tract 8114.02, Cook County, Illinois",178800,17989
1400000US17031811500,"Census Tract 8115, Cook County, Illinois",195600,15643
1400000US17031811600,"Census Tract 8116, Cook County, Illinois",211300,25926
1400000US17031811701,"Census Tract 8117.01, Cook County, Illinois",181900,12129
1400000US17031811702,"Census Tract 8117.02, Cook County, Illinois",155500,14013
1400000US17031811800,"Census Tract 8118, Cook County, Illinois",172000,8838
1400000US17031811900,"Census Tract 8119, Cook County, Illinois",695200,48606
1400000US17031812000,"Census Tract 8120, Cook County, Illinois",488100,67341
1400000US17031812100,"Census Tract 8121, Cook County, Illinois",367100,14593
1400000US17031812200,"Census Tract 8122, Cook County, Illinois",623100,22207
1400000US17031812301,"Census Tract 8123.01, Cook County, Illinois",184200,17577
1400000US17031812302,"Census Tract 8123.02, Cook County, Illinois",439100,41892
1400000US17031812400,"Census Tract 8124, Cook County, Illinois",649700,38684
1400000US17031812500,"Census Tract 8125, Cook County, Illinois",415700,60512
1400000US17031812600,"Census Tract 8126, Cook County, Illinois",301600,99066
1400000US17031812700,"Census Tract 8127, Cook County, Illinois",224000,63442
1400000US17031812801,"Census Tract 8128.01, Cook County, Illinois",168300,12339
1400000US17031812802,"Census Tract 8128.02, Cook County, Illinois",241500,38136
1400000US17031812900,"Census Tract 8129, Cook County, Illinois",417600,22498
1400000US17031813000,"Census Tract 8130, Cook County, Illinois",379500,22015
1400000US17031813100,"Census Tract 8131, Cook County, Illinois",297600,11907
1400000US17031813200,"Census Tract 8132, Cook County, Illinois",387600,22335
1400000US17031813301,"Census Tract 8133.01, Cook County, Illinois",167400,49254
1400000US17031813302,"Census Tract 8133.02, Cook County, Illinois",132700,21992
1400000US17031813400,"Census Tract 8134, Cook County, Illinois",157000,9808
1400000US17031813500,"Census Tract 8135, Cook County, Illinois",169800,9610
1400000US17031813600,"Census Tract 8136, Cook County, Illinois",157000,21529
1400000US17031813701,"Census Tract 8137.01, Cook County, Illinois",151000,47958
1400000US17031813702,"Census Tract 8137.02, Cook County, Illinois",173500,23413
1400000US17031813801,"Census Tract 8138.01, Cook County, Illinois",147300,15267
1400000US17031813802,"Census Tract 8138.02, Cook County, Illinois",163200,8296
1400000US17031813900,"Census Tract 8139, Cook County, Illinois",131500,12435
1400000US17031814000,"Census Tract 8140, Cook County, Illinois",151400,18792
1400000US17031814100,"Census Tract 8141, Cook County, Illinois",151700,19519
1400000US17031814200,"Census Tract 8142, Cook County, Illinois",139100,12678
1400000US17031814300,"Census Tract 8143, Cook County, Illinois",161800,5503
1400000US17031814400,"Census Tract 8144, Cook County, Illinois",142800,9526
1400000US17031814500,"Census Tract 8145, Cook County, Illinois",164900,10394
1400000US17031814600,"Census Tract 8146, Cook County, Illinois",165900,8111
1400000US17031814700,"Census Tract 8147, Cook County, Illinois",209000,16983
1400000US17031814800,"Census Tract 8148, Cook County, Illinois",207100,16008
1400000US17031814900,"Census Tract 8149, Cook County, Illinois",245900,23278
1400000US17031815000,"Census Tract 8150, Cook County, Illinois",189700,14519
1400000US17031815100,"Census Tract 8151, Cook County, Illinois",199600,15754
1400000US17031815200,"Census Tract 8152, Cook County, Illinois",181600,16795
1400000US17031815300,"Census Tract 8153, Cook County, Illinois",180700,12695
1400000US17031815400,"Census Tract 8154, Cook County, Illinois",228800,34398
1400000US17031815500,"Census Tract 8155, Cook County, Illinois",179200,9991
1400000US17031815600,"Census Tract 8156, Cook County, Illinois",242400,19574
1400000US17031815701,"Census Tract 8157.01, Cook County, Illinois",396400,23320
1400000US17031815702,"Census Tract 8157.02, Cook County, Illinois",422500,47671
1400000US17031815800,"Census Tract 8158, Cook County, Illinois",322500,25060
1400000US17031815900,"Census Tract 8159, Cook County, Illinois",145000,47951
1400000US17031816000,"Census Tract 8160, Cook County, Illinois",326600,17372
1400000US17031816100,"Census Tract 8161, Cook County, Illinois",232200,24078
1400000US17031816200,"Census Tract 8162, Cook County, Illinois",234100,16377
1400000US17031816300,"Census Tract 8163, Cook County, Illinois",166700,6723
1400000US17031816401,"Census Tract 8164.01, Cook County, Illinois",183700,49497
1400000US17031816402,"Census Tract 8164.02, Cook County, Illinois",234700,23904
1400000US17031816500,"Census Tract 8165, Cook County, Illinois",100400,26726
1400000US17031816600,"Census Tract 8166, Cook County, Illinois",118800,11856
1400000US17031816700,"Census Tract 8167, Cook County, Illinois",167800,19096
1400000US17031816800,"Census Tract 8168, Cook County, Illinois",178800,7955
1400000US17031816900,"Census Tract 8169, Cook County, Illinois",145600,26141
1400000US17031817000,"Census Tract 8170, Cook County, Illinois",139800,9880
1400000US17031817101,"Census Tract 8171.01, Cook County, Illinois",112700,12813
1400000US17031817102,"Census Tract 8171.02, Cook County, Illinois",136800,13149
1400000US17031817200,"Census Tract 8172, Cook County, Illinois",132600,12466
1400000US17031817300,"Census Tract 8173, Cook County, Illinois",119900,26573
1400000US17031817400,"Census Tract 8174, Cook County, Illinois",173300,9891
1400000US17031817500,"Census Tract 8175, Cook County, Illinois",152300,21918
1400000US17031817600,"Census Tract 8176, Cook County, Illinois",122100,19510
1400000US17031817700,"Census Tract 8177, Cook County, Illinois",146300,19248
1400000US17031817900,"Census Tract 8179, Cook County, Illinois",148100,19213
1400000US17031818000,"Census Tract 8180, Cook County, Illinois",184100,10388
1400000US17031818100,"Census Tract 8181, Cook County, Illinois",225400,8163
1400000US17031818200,"Census Tract 8182, Cook County, Illinois",199300,13322
1400000US17031818300,"Census Tract 8183, Cook County, Illinois",157300,5443
1400000US17031818401,"Census Tract 8184.01, Cook County, Illinois",204500,12598
1400000US17031818402,"Census Tract 8184.02, Cook County, Illinois",217700,12262
1400000US17031818500,"Census Tract 8185, Cook County, Illinois",274600,10451
1400000US17031818600,"Census Tract 8186, Cook County, Illinois",294800,16474
1400000US17031818700,"Census Tract 8187, Cook County, Illinois",248300,18214
1400000US17031818800,"Census Tract 8188, Cook County, Illinois",230100,13045
1400000US17031818900,"Census Tract 8189, Cook County, Illinois",310800,20845
1400000US17031819000,"Census Tract 8190, Cook County, Illinois",500300,29200
1400000US17031819100,"Census Tract 8191, Cook County, Illinois",174300,21006
1400000US17031819200,"Census Tract 8192, Cook County, Illinois",161600,10103
1400000US17031819300,"Census Tract 8193, Cook County, Illinois",223400,13516
1400000US17031819400,"Census Tract 8194, Cook County, Illinois",242600,14860
1400000US17031819500,"Census Tract 8195, Cook County, Illinois",328100,45441
1400000US17031819600,"Census Tract 8196, Cook County, Illinois",517600,58934
1400000US17031819700,"Census Tract 8197, Cook County, Illinois",583500,38072
1400000US17031819801,"Census Tract 8198.01, Cook County, Illinois",612400,30427
1400000US17031819802,"Census Tract 8198.02, Cook County, Illinois",561000,26866
1400000US17031819900,"Census Tract 8199, Cook County, Illinois",633100,61881
1400000US17031820000,"Census Tract 8200, Cook County, Illinois",878400,44221
1400000US17031820101,"Census Tract 8201.01, Cook County, Illinois",390800,39654
1400000US17031820103,"Census Tract 8201.03, Cook County, Illinois",321300,33266
1400000US17031820104,"Census Tract 8201.04, Cook County, Illinois",284500,28719
1400000US17031820201,"Census Tract 8202.01, Cook County, Illinois",391600,32003
1400000US17031820202,"Census Tract 8202.02, Cook County, Illinois",125900,26557
1400000US17031820300,"Census Tract 8203, Cook County, Illinois",171900,10220
1400000US17031820400,"Census Tract 8204, Cook County, Illinois",130800,18192
1400000US17031820501,"Census Tract 8205.01, Cook County, Illinois",201500,13975
1400000US17031820502,"Census Tract 8205.02, Cook County, Illinois",193300,14627
1400000US17031820603,"Census Tract 8206.03, Cook County, Illinois",184700,10675
1400000US17031820604,"Census Tract 8206.04, Cook County, Illinois",147000,13724
1400000US17031820605,"Census Tract 8206.05, Cook County, Illinois",190000,55934
1400000US17031820606,"Census Tract 8206.06, Cook County, Illinois",218800,13215
1400000US17031820700,"Census Tract 8207, Cook County, Illinois",177400,19993
1400000US17031820800,"Census Tract 8208, Cook County, Illinois",190700,12558
1400000US17031820901,"Census Tract 8209.01, Cook County, Illinois",171400,9508
1400000US17031820902,"Census Tract 8209.02, Cook County, Illinois",163100,9344
1400000US17031821001,"Census Tract 8210.01, Cook County, Illinois",200800,19085
1400000US17031821002,"Census Tract 8210.02, Cook County, Illinois",193600,12184
1400000US17031821101,"Census Tract 8211.01, Cook County, Illinois",174700,15347
1400000US17031821102,"Census Tract 8211.02, Cook County, Illinois",200500,18903
1400000US17031821200,"Census Tract 8212, Cook County, Illinois",111700,7402
1400000US17031821300,"Census Tract 8213, Cook County, Illinois",107800,11591
1400000US17031821401,"Census Tract 8214.01, Cook County, Illinois",113800,10991
1400000US17031821402,"Census Tract 8214.02, Cook County, Illinois",108600,8574
1400000US17031821500,"Census Tract 8215, Cook County, Illinois",83800,4179
1400000US17031821600,"Census Tract 8216, Cook County, Illinois",180300,10268
1400000US17031821700,"Census Tract 8217, Cook County, Illinois",219100,11995
1400000US17031821800,"Census Tract 8218, Cook County, Illinois",173400,9373
1400000US17031821900,"Census Tract 8219, Cook County, Illinois",181900,7417
1400000US17031822000,"Census Tract 8220, Cook County, Illinois",113100,5615
1400000US17031822101,"Census Tract 8221.01, Cook County, Illinois",191200,8552
1400000US17031822102,"Census Tract 8221.02, Cook County, Illinois",148100,55650
1400000US17031822200,"Census Tract 8222, Cook County, Illinois",196300,10653
1400000US17031822301,"Census Tract 8223.01, Cook County, Illinois",193700,11101
1400000US17031822302,"Census Tract 8223.02, Cook County, Illinois",192000,13870
1400000US17031822400,"Census Tract 8224, Cook County, Illinois",173800,26787
1400000US17031822500,"Census Tract 8225, Cook County, Illinois",206000,14504
1400000US17031822601,"Census Tract 8226.01, Cook County, Illinois",202500,14104
1400000US17031822602,"Census Tract 8226.02, Cook County, Illinois",208200,16172
1400000US17031822701,"Census Tract 8227.01, Cook County, Illinois",136800,19418
1400000US17031822702,"Census Tract 8227.02, Cook County, Illinois",194500,10890
1400000US17031822801,"Census Tract 8228.01, Cook County, Illinois",197300,26655
1400000US17031822802,"Census Tract 8228.02, Cook County, Illinois",211900,11901
1400000US17031822900,"Census Tract 8229, Cook County, Illinois",163200,7576
1400000US17031823001,"Census Tract 8230.01, Cook County, Illinois",151600,13610
1400000US17031823002,"Census Tract 8230.02, Cook County, Illinois",179400,23529
1400000US17031823101,"Census Tract 8231.01, Cook County, Illinois",163400,12594
1400000US17031823102,"Census Tract 8231.02, Cook County, Illinois",168200,7167
1400000US17031823200,"Census Tract 8232, Cook County, Illinois",178000,11132
1400000US17031823302,"Census Tract 8233.02, Cook County, Illinois",160700,13738
1400000US17031823303,"Census Tract 8233.03, Cook County, Illinois",166200,7847
1400000US17031823304,"Census Tract 8233.04, Cook County, Illinois",147000,11458
1400000US17031823400,"Census Tract 8234, Cook County, Illinois",141300,33884
1400000US17031823500,"Census Tract 8235, Cook County, Illinois",145500,16726
1400000US17031823602,"Census Tract 8236.02, Cook County, Illinois",166300,14702
1400000US17031823603,"Census Tract 8236.03, Cook County, Illinois",110900,15398
1400000US17031823604,"Census Tract 8236.04, Cook County, Illinois",279600,9229
1400000US17031823605,"Census Tract 8236.05, Cook County, Illinois",275400,8638
1400000US17031823702,"Census Tract 8237.02, Cook County, Illinois",232900,15785
1400000US17031823703,"Census Tract 8237.03, Cook County, Illinois",140200,20739
1400000US17031823704,"Census Tract 8237.04, Cook County, Illinois",234600,9847
1400000US17031823705,"Census Tract 8237.05, Cook County, Illinois",240600,15965
1400000US17031823801,"Census Tract 8238.01, Cook County, Illinois",413800,22475
1400000US17031823803,"Census Tract 8238.03, Cook County, Illinois",223300,11295
1400000US17031823805,"Census Tract 8238.05, Cook County, Illinois",133800,6562
1400000US17031823806,"Census Tract 8238.06, Cook County, Illinois",150600,19088
1400000US17031823901,"Census Tract 8239.01, Cook County, Illinois",349900,24444
1400000US17031823903,"Census Tract 8239.03, Cook County, Illinois",311700,14945
1400000US17031823904,"Census Tract 8239.04, Cook County, Illinois",256800,22508
1400000US17031824003,"Census Tract 8240.03, Cook County, Illinois",339200,11353
1400000US17031824004,"Census Tract 8240.04, Cook County, Illinois",378900,35678
1400000US17031824005,"Census Tract 8240.05, Cook County, Illinois",358500,20708
1400000US17031824006,"Census Tract 8240.06, Cook County, Illinois",421700,21072
1400000US17031824105,"Census Tract 8241.05, Cook County, Illinois",292800,16871
1400000US17031824106,"Census Tract 8241.06, Cook County, Illinois",274600,12169
1400000US17031824107,"Census Tract 8241.07, Cook County, Illinois",259200,9681
1400000US17031824108,"Census Tract 8241.08, Cook County, Illinois",226000,6909
1400000US17031824113,"Census Tract 8241.13, Cook County, Illinois",337900,15481
1400000US17031824114,"Census Tract 8241.14, Cook County, Illinois",339000,18917
1400000US17031824115,"Census Tract 8241.15, Cook County, Illinois",212300,15413
1400000US17031824116,"Census Tract 8241.16, Cook County, Illinois",218900,17198
1400000US17031824117,"Census Tract 8241.17, Cook County, Illinois",278600,8271
1400000US17031824119,"Census Tract 8241.19, Cook County, Illinois",318900,14550
1400000US17031824120,"Census Tract 8241.20, Cook County, Illinois",359700,19706
1400000US17031824121,"Census Tract 8241.21, Cook County, Illinois",212700,8091
1400000US17031824122,"Census Tract 8241.22, Cook County, Illinois",265200,13141
1400000US17031824123,"Census Tract 8241.23, Cook County, Illinois",214400,7974
1400000US17031824300,"Census Tract 8243, Cook County, Illinois",80600,13368
1400000US17031824400,"Census Tract 8244, Cook County, Illinois",180400,19390
1400000US17031824503,"Census Tract 8245.03, Cook County, Illinois",184800,16000
1400000US17031824505,"Census Tract 8245.05, Cook County, Illinois",190200,11657
1400000US17031824506,"Census Tract 8245.06, Cook County, Illinois",182100,19687
1400000US17031824507,"Census Tract 8245.07, Cook County, Illinois",205000,11367
1400000US17031824601,"Census Tract 8246.01, Cook County, Illinois",172000,9901
1400000US17031824602,"Census Tract 8246.02, Cook County, Illinois",160200,7411
1400000US17031824701,"Census Tract 8247.01, Cook County, Illinois",157700,8116
1400000US17031824702,"Census Tract 8247.02, Cook County, Illinois",130600,9507
1400000US17031824800,"Census Tract 8248, Cook County, Illinois",104100,12872
1400000US17031824900,"Census Tract 8249, Cook County, Illinois",87200,6413
1400000US17031825000,"Census Tract 8250, Cook County, Illinois",169400,8533
1400000US17031825200,"Census Tract 8252, Cook County, Illinois",162900,8034
1400000US17031825302,"Census Tract 8253.02, Cook County, Illinois",226700,11459
1400000US17031825303,"Census Tract 8253.03, Cook County, Illinois",192800,13032
1400000US17031825304,"Census Tract 8253.04, Cook County, Illinois",213700,13011
1400000US17031825400,"Census Tract 8254, Cook County, Illinois",205400,11052
1400000US17031825501,"Census Tract 8255.01, Cook County, Illinois",122000,12273
1400000US17031825503,"Census Tract 8255.03, Cook County, Illinois",133800,18973
1400000US17031825504,"Census Tract 8255.04, Cook County, Illinois",99600,15795
1400000US17031825505,"Census Tract 8255.05, Cook County, Illinois",136200,11710
1400000US17031825600,"Census Tract 8256, Cook County, Illinois",88000,16257
1400000US17031825700,"Census Tract 8257, Cook County, Illinois",98700,8775
1400000US17031825801,"Census Tract 8258.01, Cook County, Illinois",90000,14660
1400000US17031825802,"Census Tract 8258.02, Cook County, Illinois",145900,13370
1400000US17031825803,"Census Tract 8258.03, Cook County, Illinois",118900,9949
1400000US17031825900,"Census Tract 8259, Cook County, Illinois",92800,6215
1400000US17031826000,"Census Tract 8260, Cook County, Illinois",75400,9482
1400000US17031826100,"Census Tract 8261, Cook County, Illinois",89100,14278
1400000US17031826201,"Census Tract 8262.01, Cook County, Illinois",82400,16177
1400000US17031826202,"Census Tract 8262.02, Cook County, Illinois",89300,7568
1400000US17031826301,"Census Tract 8263.01, Cook County, Illinois",97900,6006
1400000US17031826303,"Census Tract 8263.03, Cook County, Illinois",118000,14525
1400000US17031826304,"Census Tract 8263.04, Cook County, Illinois",103300,9919
1400000US17031826401,"Census Tract 8264.01, Cook County, Illinois",109700,15557
1400000US17031826402,"Census Tract 8264.02, Cook County, Illinois",85400,7188
1400000US17031826500,"Census Tract 8265, Cook County, Illinois",86200,6200
1400000US17031826600,"Census Tract 8266, Cook County, Illinois",83800,7557
1400000US17031826700,"Census Tract 8267, Cook County, Illinois",73300,7130
1400000US17031826800,"Census Tract 8268, Cook County, Illinois",62300,9998
1400000US17031826901,"Census Tract 8269.01, Cook County, Illinois",72900,13356
1400000US17031826902,"Census Tract 8269.02, Cook County, Illinois",65100,4869
1400000US17031827000,"Census Tract 8270, Cook County, Illinois",78100,6873
1400000US17031827100,"Census Tract 8271, Cook County, Illinois",75300,3530
1400000US17031827200,"Census Tract 8272, Cook County, Illinois",69700,4126
1400000US17031827300,"Census Tract 8273, Cook County, Illinois",72000,7208
1400000US17031827400,"Census Tract 8274, Cook County, Illinois",78700,4536
1400000US17031827500,"Census Tract 8275, Cook County, Illinois",82200,7947
1400000US17031827600,"Census Tract 8276, Cook County, Illinois",86500,8268
1400000US17031827700,"Census Tract 8277, Cook County, Illinois",64300,4432
1400000US17031827801,"Census Tract 8278.01, Cook County, Illinois",127600,10819
1400000US17031827802,"Census Tract 8278.02, Cook County, Illinois",153300,7618
1400000US17031827804,"Census Tract 8278.04, Cook County, Illinois",166100,10733
1400000US17031827805,"Census Tract 8278.05, Cook County, Illinois",161000,6310
1400000US17031827901,"Census Tract 8279.01, Cook County, Illinois",198600,13002
1400000US17031827902,"Census Tract 8279.02, Cook County, Illinois",94700,8079
