id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031081100,"Census Tract 811, Cook County, Illinois",358600,41731
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",788200,186727
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",630900,80199
1400000US17031081300,"Census Tract 813, Cook County, Illinois",447000,74561
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",703700,157512
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",492900,70716
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",559600,98522
1400000US17031081500,"Census Tract 815, Cook County, Illinois",555900,130229
1400000US17031081600,"Census Tract 816, Cook County, Illinois",357900,84640
1400000US17031081700,"Census Tract 817, Cook County, Illinois",360300,23528
1400000US17031081800,"Census Tract 818, Cook County, Illinois",458000,27665
1400000US17031081900,"Census Tract 819, Cook County, Illinois",613900,129255
1400000US17031090100,"Census Tract 901, Cook County, Illinois",348000,14022
1400000US17031090200,"Census Tract 902, Cook County, Illinois",397700,39658
1400000US17031090300,"Census Tract 903, Cook County, Illinois",367300,16181
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",337800,26474
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",302800,24204
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",362300,20706
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",337400,10199
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",321000,20422
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",291400,13497
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",294600,10217
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",317300,24246
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",317400,31220
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",280000,10419
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",310200,19695
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",315900,16262
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",223200,33548
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",465800,19539
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",463900,29325
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",444800,28527
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",349600,18871
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",335700,19747
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",275000,25455
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",336800,25938
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",236900,36055
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",192900,15393
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",224000,72723
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",278500,20075
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",308600,21118
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",288800,26657
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",302000,29555
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",274700,32856
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",273900,15130
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",328300,40709
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",460300,52542
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",339200,14740
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",318800,17428
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",270600,20209
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",303400,21863
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",254600,14338
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",272000,16168
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",279900,18953
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",266400,19590
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",294100,23407
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",272300,21317
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",280200,31711
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",277300,16125
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",283400,12791
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",326000,29942
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",403100,40052
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",166600,15901
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",325200,55914
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",300700,52514
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",303800,36054
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",261400,23158
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",356700,96507
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",351000,56244
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",298300,30380
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",395100,48846
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",490500,67005
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",528000,76183
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",269700,11314
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",278700,29956
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",185700,13678
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",257900,12967
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",240600,12456
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",239100,17797
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",244000,11585
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",252400,10197
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",239400,11859
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",263800,7978
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",241400,12188
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",278500,17306
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",255200,16739
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",225400,11402
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",238000,18904
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",268900,12349
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",257500,26351
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",234600,14418
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",261700,12819
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",207500,20777
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",215000,15841
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",278300,30285
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",225700,43557
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",255000,25935
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",271300,23317
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",234400,22521
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",219900,12137
