GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US17031030400,"Census Tract 304, Cook County, Illinois",59.1,6.9,15.9
1400000US17031030500,"Census Tract 305, Cook County, Illinois",57.3,2.3,5.5
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",46.7,3.4,17.6
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",48.4,4.3,23.9
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",55.2,4.6,24.4
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",47.3,9.1,26.3
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",70.2,7.5,13.1
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",52.1,4.6,25.1
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",55.3,8.5,13.3
1400000US17031030800,"Census Tract 308, Cook County, Illinois",73.7,4.9,8.9
1400000US17031030900,"Census Tract 309, Cook County, Illinois",62.1,3,9.4
1400000US17031031000,"Census Tract 310, Cook County, Illinois",66,4.5,6.8
1400000US17031031100,"Census Tract 311, Cook County, Illinois",61.1,5.2,12.3
1400000US17031031200,"Census Tract 312, Cook County, Illinois",41.9,4.2,26.9
1400000US17031031300,"Census Tract 313, Cook County, Illinois",50.6,2.7,22.1
1400000US17031031400,"Census Tract 314, Cook County, Illinois",75.8,1.9,10.6
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",36.6,10.6,46.9
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",42.7,8.5,32.3
1400000US17031031700,"Census Tract 317, Cook County, Illinois",52.2,4.5,24
1400000US17031031800,"Census Tract 318, Cook County, Illinois",70.3,3.1,7.1
1400000US17031031900,"Census Tract 319, Cook County, Illinois",70.6,7,11.4
1400000US17031032100,"Census Tract 321, Cook County, Illinois",59.7,6.4,23.7
1400000US17031040100,"Census Tract 401, Cook County, Illinois",60.8,1.6,11.4
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",58.1,2.5,8.1
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",40,6.3,18.5
1400000US17031040300,"Census Tract 403, Cook County, Illinois",54,11.3,1.4
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",69.8,5.9,3.7
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",75.5,3.2,6.5
